ID da Venda,Data da Venda,Modelo,Marca,Cor,Tamanho,Estampa,Quantidade,Preço Unitário (R$),Valor Total do Item (R$),Etiqueta
39,2024-11-29,Chinelo,Quiksilver,Azul Claro,GG,Estampa pequena na frente,3,303.99,911.97,ETQ039
40,2024-03-13,Calça Jeans,Nike,Vermelho,GG,Estampa pequena na frente,2,363.99,727.98,ETQ040
41,2024-10-30,Chinelo,Sem Marca,Cinza,G,Estampa grande na frente,3,24.99,74.97,ETQ041
42,2024-06-04,Camiseta Polo,Adidas,Verde,XGG,Estampa grande nas costas,5,301.99,1509.95,ETQ042
43,2024-09-15,Calça Jeans,Quiksilver,Verde,GG,Estampa grande nas costas,1,100.99,100.99,ETQ043
44,2024-07-06,Tênis,Adidas,Azul Marinho,42,Estampa grande nas costas,1,27.99,27.99,ETQ044
45,2024-08-21,Camisa Manga Curta,Lacoste,Branco,XGG,Estampa grande nas costas,4,119.99,479.96,ETQ045
46,2024-12-12,Bermuda de Sarja,Puma,Bege,XG,Estampa grande na frente,1,363.99,363.99,ETQ046
47,2024-11-09,Camisa Manga Curta,Reserva,Bege,XGG,Estampa pequena na frente e grande atrás,5,161.99,809.95,ETQ047
48,2024-11-05,Camisa Manga Longa,Vans,Vermelho,44,Estampa pequena na frente,4,157.99,631.96,ETQ048
49,2024-04-12,Bermuda de Sarja,Element,Azul Claro,XGG,Estampa grande na frente,3,36.99,110.97,ETQ049
50,2024-11-26,Short Jeans,Lacoste,Verde,42,Sem estampa,2,58.99,117.98,ETQ050
51,2024-03-13,Camisa Manga Longa,Reserva,Cinza,XG,Estampa grande nas costas,1,74.99,74.99,ETQ051
52,2024-10-28,Camiseta Polo,Tommy Hilfiger,Vermelho,XG,Sem estampa,3,37.99,113.97,ETQ052
53,2024-11-07,Camiseta Polo,Vans,Azul Claro,40,Estampa grande nas costas,1,154.99,154.99,ETQ053
54,2024-11-23,Calça Moletom,Reserva,Cinza,XGG,Estampa pequena na frente e grande atrás,1,171.99,171.99,ETQ054
55,2024-11-24,Calça Moletom,Adidas,Azul Claro,44,Estampa grande na frente,5,210.99,1054.95,ETQ055
56,2024-07-06,Camisa Manga Curta,Tommy Hilfiger,Azul Marinho,M,Estampa pequena na frente e grande atrás,3,394.99,1184.97,ETQ056
57,2024-11-06,Calça Jeans,Quiksilver,Marrom,44,Estampa pequena na frente e grande atrás,5,368.99,1844.95,ETQ057
58,2024-11-24,Short Jeans,Sem Marca,Preto,44,Estampa grande nas costas,1,380.99,380.99,ETQ058
59,2024-01-18,Moletom com Capuz,Hurley,Cinza,GG,Estampa pequena na frente e grande atrás,4,301.99,1207.96,ETQ059
60,2024-06-29,Camisa Regata,Reserva,Cinza,G,Estampa pequena na frente,3,211.99,635.97,ETQ060
61,2024-05-29,Camisa Manga Longa,Tommy Hilfiger,Azul Claro,GG,Estampa pequena na frente,1,202.99,202.99,ETQ061
62,2024-02-24,Camisa Manga Longa,Quiksilver,Bege,44,Estampa grande nas costas,4,34.99,139.96,ETQ062
63,2024-06-17,Tênis,Hurley,Branco,M,Sem estampa,5,48.99,244.95,ETQ063
64,2024-12-10,Bermuda de Sarja,Nike,Preto,44,Estampa grande nas costas,4,301.99,1207.96,ETQ064
65,2024-04-18,Camiseta Polo,Tommy Hilfiger,Verde,XGG,Estampa pequena na frente e grande atrás,2,356.99,713.98,ETQ065
66,2024-08-02,Short Jeans,Element,Bege,42,Estampa pequena na frente e grande atrás,1,314.99,314.99,ETQ066
67,2024-04-10,Short Jeans,Calvin Klein,Azul Marinho,P,Estampa pequena na frente,2,306.99,613.98,ETQ067
68,2024-05-14,Camiseta Polo,Tommy Hilfiger,Marrom,XG,Estampa pequena na frente,2,39.99,79.98,ETQ068
69,2024-12-19,Chinelo,Calvin Klein,Azul Claro,40,Estampa pequena na frente e grande atrás,5,28.99,144.95,ETQ069
70,2024-06-02,Tênis,Oakley,Azul Claro,XGG,Estampa pequena na frente e grande atrás,1,189.99,189.99,ETQ070
71,2024-12-11,Calça Jeans,Nike,Branco,42,Sem estampa,1,282.99,282.99,ETQ071
72,2024-12-17,Tênis,Quiksilver,Preto,42,Estampa pequena na frente,4,27.99,111.96,ETQ072
73,2024-11-29,Tênis,Puma,Marrom,M,Estampa pequena na frente e grande atrás,5,117.99,589.9499999999999,ETQ073
74,2024-12-24,Camiseta Polo,Calvin Klein,Preto,P,Estampa pequena na frente,2,368.99,737.98,ETQ074
75,2024-06-07,Camisa Manga Curta,Nike,Preto,G,Sem estampa,5,157.99,789.95,ETQ075
76,2024-04-15,Camisa Manga Longa,Tommy Hilfiger,Marrom,40,Estampa grande na frente,2,198.99,397.98,ETQ076
77,2024-12-21,Calça Moletom,Oakley,Cinza,XG,Estampa pequena na frente e grande atrás,1,295.99,295.99,ETQ077
78,2024-05-18,Camisa Manga Longa,Lacoste,Verde,G,Sem estampa,4,37.99,151.96,ETQ078
79,2024-11-24,Camisa Regata,Calvin Klein,Azul Marinho,42,Sem estampa,2,398.99,797.98,ETQ079
80,2024-12-12,Calça Moletom,Oakley,Azul Marinho,P,Estampa pequena na frente,3,241.99,725.97,ETQ080
81,2024-12-19,Bermuda de Sarja,Vans,Vermelho,P,Estampa grande nas costas,3,199.99,599.97,ETQ081
82,2024-11-21,Tênis,Reserva,Bege,M,Estampa grande na frente,4,257.99,1031.96,ETQ082
83,2024-09-03,Chinelo,Element,Azul Marinho,GG,Sem estampa,5,266.99,1334.95,ETQ083
84,2024-11-27,Moletom com Capuz,Element,Bege,GG,Estampa grande nas costas,5,236.99,1184.95,ETQ084
85,2024-04-29,Chinelo,Quiksilver,Branco,XG,Estampa pequena na frente,5,239.99,1199.95,ETQ085
86,2024-12-10,Short Jeans,Quiksilver,Branco,P,Estampa pequena na frente e grande atrás,5,190.99,954.95,ETQ086
87,2024-08-30,Camisa Manga Curta,Tommy Hilfiger,Vermelho,42,Estampa grande na frente,2,208.99,417.98,ETQ087
88,2024-04-27,Camiseta Polo,Nike,Marrom,42,Estampa pequena na frente e grande atrás,2,170.99,341.98,ETQ088
89,2024-12-22,Tênis,Calvin Klein,Bege,P,Estampa grande na frente,4,297.99,1191.96,ETQ089
90,2024-06-08,Camisa Manga Curta,Vans,Azul Claro,G,Estampa grande nas costas,1,247.99,247.99,ETQ090
91,2024-12-15,Calça Jeans,Reserva,Bege,M,Sem estampa,2,24.99,49.98,ETQ091
92,2024-03-05,Camiseta Polo,Puma,Marrom,44,Estampa pequena na frente,4,280.99,1123.96,ETQ092
93,2024-05-31,Bermuda de Sarja,Calvin Klein,Azul Marinho,44,Estampa pequena na frente e grande atrás,2,109.99,219.98,ETQ093
94,2024-12-24,Camisa Manga Longa,Tommy Hilfiger,Cinza,G,Sem estampa,4,359.99,1439.96,ETQ094
95,2024-04-16,Camisa Regata,Lacoste,Verde,XGG,Estampa pequena na frente e grande atrás,4,260.99,1043.96,ETQ095
96,2024-06-20,Short Moletom,Element,Verde,GG,Estampa grande nas costas,5,94.99,474.95,ETQ096
97,2024-01-06,Jaqueta,Oakley,Azul Claro,XGG,Estampa pequena na frente,1,277.99,277.99,ETQ097
98,2024-12-10,Jaqueta,Tommy Hilfiger,Marrom,P,Sem estampa,1,334.99,334.99,ETQ098
99,2024-06-04,Short Moletom,Vans,Vermelho,XGG,Estampa grande nas costas,1,31.99,31.99,ETQ099
100,2024-06-05,Moletom com Capuz,Nike,Marrom,G,Estampa pequena na frente e grande atrás,2,79.99,159.98,ETQ100
101,2024-10-05,Short Jeans,Lacoste,Marrom,XGG,Estampa pequena na frente e grande atrás,1,209.99,209.99,ETQ101
102,2024-02-09,Short Moletom,Sem Marca,Azul Marinho,GG,Estampa pequena na frente,3,79.99,239.97,ETQ102
103,2024-06-03,Camisa Regata,Nike,Cinza,44,Estampa grande nas costas,2,149.99,299.98,ETQ103
104,2024-12-23,Camisa Manga Curta,Hurley,Branco,G,Estampa grande na frente,5,88.99,444.95,ETQ104
105,2024-11-14,Calça Jeans,Quiksilver,Marrom,GG,Estampa grande na frente,1,316.99,316.99,ETQ105
106,2024-04-23,Short Jeans,Element,Preto,M,Estampa pequena na frente e grande atrás,3,314.99,944.97,ETQ106
107,2024-01-17,Calça Moletom,Puma,Bege,GG,Estampa grande nas costas,5,132.99,664.95,ETQ107
108,2024-12-04,Camiseta Polo,Nike,Preto,P,Estampa grande na frente,1,280.99,280.99,ETQ108
109,2024-10-04,Jaqueta,Puma,Marrom,40,Estampa grande nas costas,2,161.99,323.98,ETQ109
110,2024-05-02,Calça Jeans,Quiksilver,Marrom,G,Estampa pequena na frente,2,285.99,571.98,ETQ110
111,2024-03-25,Moletom com Capuz,Hurley,Vermelho,P,Estampa grande nas costas,1,125.99,125.99,ETQ111
112,2024-11-26,Moletom com Capuz,Lacoste,Preto,XGG,Estampa pequena na frente,4,380.99,1523.96,ETQ112
113,2024-02-02,Short Jeans,Puma,Azul Claro,XGG,Estampa grande nas costas,2,246.99,493.98,ETQ113
114,2024-07-19,Camisa Regata,Quiksilver,Branco,XG,Estampa pequena na frente,3,236.99,710.97,ETQ114
115,2024-02-25,Bermuda de Sarja,Reserva,Branco,XGG,Estampa grande nas costas,5,392.99,1964.95,ETQ115
116,2024-06-07,Short Moletom,Lacoste,Branco,G,Estampa pequena na frente e grande atrás,5,359.99,1799.95,ETQ116
117,2024-12-16,Bermuda de Sarja,Reserva,Azul Marinho,42,Sem estampa,4,106.99,427.96,ETQ117
118,2024-12-07,Bermuda de Sarja,Adidas,Vermelho,GG,Estampa grande na frente,5,54.99,274.95,ETQ118
119,2024-12-15,Short Moletom,Vans,Marrom,P,Sem estampa,2,65.99,131.98,ETQ119
120,2024-12-15,Bermuda de Sarja,Tommy Hilfiger,Marrom,G,Sem estampa,1,270.99,270.99,ETQ120
121,2024-08-15,Calça Jeans,Puma,Vermelho,GG,Estampa grande na frente,2,62.99,125.98,ETQ121
122,2024-01-25,Camisa Regata,Oakley,Marrom,42,Estampa grande na frente,3,167.99,503.97,ETQ122
123,2024-03-30,Jaqueta,Lacoste,Preto,P,Estampa grande na frente,5,148.99,744.95,ETQ123
124,2024-04-27,Chinelo,Hurley,Bege,GG,Estampa grande na frente,4,357.99,1431.96,ETQ124
125,2024-11-28,Camiseta Polo,Puma,Marrom,XG,Estampa grande na frente,1,226.99,226.99,ETQ125
126,2024-05-28,Calça Jeans,Hurley,Marrom,P,Estampa grande nas costas,1,113.99,113.99,ETQ126
127,2024-10-09,Bermuda de Sarja,Hurley,Bege,G,Estampa pequena na frente,1,64.99,64.99,ETQ127
128,2024-05-28,Camisa Manga Longa,Hurley,Verde,42,Estampa grande na frente,1,217.99,217.99,ETQ128
129,2024-10-09,Short Moletom,Lacoste,Marrom,44,Sem estampa,1,356.99,356.99,ETQ129
130,2024-09-18,Calça Jeans,Vans,Azul Claro,44,Estampa pequena na frente e grande atrás,5,100.99,504.95,ETQ130
131,2024-02-13,Short Jeans,Hurley,Azul Marinho,GG,Estampa grande na frente,5,318.99,1594.95,ETQ131
132,2024-06-06,Chinelo,Puma,Azul Marinho,P,Estampa grande na frente,4,85.99,343.96,ETQ132
133,2024-12-22,Tênis,Element,Preto,XG,Estampa pequena na frente,2,289.99,579.98,ETQ133
134,2024-11-29,Camisa Manga Curta,Calvin Klein,Azul Marinho,XGG,Estampa pequena na frente e grande atrás,2,189.99,379.98,ETQ134
135,2024-02-05,Tênis,Hurley,Azul Marinho,M,Estampa pequena na frente e grande atrás,4,232.99,931.96,ETQ135
136,2024-12-07,Camisa Regata,Lacoste,Bege,P,Sem estampa,1,41.99,41.99,ETQ136
137,2024-07-06,Short Moletom,Sem Marca,Branco,40,Sem estampa,3,341.99,1025.97,ETQ137
138,2024-07-05,Short Moletom,Puma,Verde,M,Estampa grande na frente,4,96.99,387.96,ETQ138
139,2024-12-24,Short Moletom,Vans,Azul Claro,44,Estampa grande nas costas,2,383.99,767.98,ETQ139
140,2024-01-01,Jaqueta,Calvin Klein,Bege,G,Estampa pequena na frente,3,353.99,1061.97,ETQ140
141,2024-01-22,Camisa Manga Longa,Element,Azul Marinho,GG,Estampa pequena na frente e grande atrás,1,334.99,334.99,ETQ141
142,2024-08-13,Short Moletom,Reserva,Azul Claro,42,Estampa pequena na frente e grande atrás,5,83.99,419.95,ETQ142
143,2024-10-23,Jaqueta,Vans,Preto,40,Sem estampa,5,305.99,1529.95,ETQ143
144,2024-12-15,Jaqueta,Hurley,Preto,M,Estampa grande na frente,3,225.99,677.97,ETQ144
145,2024-10-14,Bermuda de Sarja,Sem Marca,Branco,42,Estampa pequena na frente,5,133.99,669.95,ETQ145
146,2024-06-17,Calça Moletom,Hurley,Verde,G,Estampa pequena na frente e grande atrás,3,106.99,320.97,ETQ146
147,2024-12-18,Chinelo,Tommy Hilfiger,Verde,44,Estampa grande nas costas,3,379.99,1139.97,ETQ147
148,2024-12-16,Moletom com Capuz,Element,Verde,40,Sem estampa,3,77.99,233.97,ETQ148
149,2024-03-03,Short Moletom,Vans,Preto,44,Estampa pequena na frente,3,237.99,713.97,ETQ149
150,2024-05-22,Camiseta Polo,Lacoste,Bege,M,Estampa grande na frente,3,115.99,347.97,ETQ150
151,2024-04-13,Short Jeans,Hurley,Azul Marinho,XGG,Estampa pequena na frente e grande atrás,1,148.99,148.99,ETQ151
152,2024-11-28,Camisa Manga Longa,Vans,Azul Claro,P,Estampa pequena na frente,3,229.99,689.97,ETQ152
153,2024-06-10,Calça Moletom,Calvin Klein,Cinza,G,Estampa grande na frente,3,63.99,191.97,ETQ153
154,2024-05-05,Camisa Manga Longa,Vans,Marrom,M,Estampa pequena na frente e grande atrás,5,193.99,969.95,ETQ154
155,2024-12-09,Camisa Manga Curta,Calvin Klein,Cinza,GG,Estampa pequena na frente,1,118.99,118.99,ETQ155
156,2024-06-05,Camisa Manga Longa,Puma,Cinza,XG,Estampa pequena na frente,3,91.99,275.97,ETQ156
157,2024-11-03,Moletom com Capuz,Tommy Hilfiger,Bege,XG,Estampa grande nas costas,4,22.99,91.96,ETQ157
158,2024-12-21,Bermuda de Sarja,Quiksilver,Verde,XG,Estampa grande na frente,3,164.99,494.97,ETQ158
159,2024-03-27,Chinelo,Sem Marca,Bege,XGG,Estampa pequena na frente e grande atrás,4,231.99,927.96,ETQ159
160,2024-01-20,Bermuda de Sarja,Element,Preto,44,Estampa grande nas costas,3,210.99,632.97,ETQ160
161,2024-12-13,Camisa Regata,Element,Verde,M,Estampa grande na frente,2,90.99,181.98,ETQ161
162,2024-11-25,Tênis,Hurley,Cinza,G,Estampa grande na frente,5,48.99,244.95,ETQ162
163,2024-12-18,Camisa Manga Longa,Sem Marca,Bege,40,Estampa grande na frente,5,241.99,1209.95,ETQ163
164,2024-10-18,Calça Moletom,Puma,Cinza,42,Estampa pequena na frente,2,232.99,465.98,ETQ164
165,2024-07-30,Short Jeans,Adidas,Branco,44,Sem estampa,3,69.99,209.97,ETQ165
166,2024-01-15,Moletom com Capuz,Vans,Azul Claro,GG,Estampa pequena na frente e grande atrás,2,73.99,147.98,ETQ166
167,2024-06-04,Camisa Manga Longa,Quiksilver,Branco,G,Estampa pequena na frente e grande atrás,2,249.99,499.98,ETQ167
168,2024-12-24,Bermuda de Sarja,Element,Azul Marinho,GG,Estampa grande na frente,2,265.99,531.98,ETQ168
169,2024-12-23,Moletom com Capuz,Element,Marrom,44,Estampa grande na frente,5,146.99,734.95,ETQ169
170,2024-01-28,Calça Jeans,Tommy Hilfiger,Azul Claro,44,Estampa grande na frente,3,323.99,971.97,ETQ170
171,2024-07-10,Tênis,Quiksilver,Preto,GG,Estampa grande nas costas,2,282.99,565.98,ETQ171
172,2024-11-22,Camiseta Polo,Puma,Branco,XGG,Estampa grande nas costas,1,351.99,351.99,ETQ172
173,2024-12-22,Camisa Regata,Calvin Klein,Bege,40,Estampa pequena na frente e grande atrás,3,267.99,803.97,ETQ173
174,2024-06-05,Tênis,Calvin Klein,Azul Marinho,44,Estampa grande na frente,3,346.99,1040.97,ETQ174
175,2024-12-15,Calça Moletom,Nike,Marrom,42,Estampa grande na frente,5,378.99,1894.95,ETQ175
176,2024-12-29,Jaqueta,Sem Marca,Marrom,XG,Estampa grande nas costas,4,96.99,387.96,ETQ176
177,2024-11-22,Short Jeans,Lacoste,Branco,XG,Estampa pequena na frente,5,372.99,1864.95,ETQ177
178,2024-12-22,Jaqueta,Vans,Azul Marinho,G,Estampa grande na frente,4,171.99,687.96,ETQ178
179,2024-10-26,Camiseta Polo,Oakley,Marrom,40,Estampa grande nas costas,3,129.99,389.97,ETQ179
180,2024-06-30,Camisa Regata,Puma,Verde,P,Estampa pequena na frente e grande atrás,1,315.99,315.99,ETQ180
181,2024-01-31,Camisa Manga Curta,Oakley,Cinza,M,Sem estampa,2,119.99,239.98,ETQ181
182,2024-12-21,Camiseta Polo,Hurley,Cinza,G,Estampa pequena na frente,2,317.99,635.98,ETQ182
183,2024-11-23,Short Moletom,Element,Verde,XGG,Estampa pequena na frente,1,272.99,272.99,ETQ183
184,2024-06-04,Calça Moletom,Oakley,Bege,P,Estampa grande na frente,3,51.99,155.97,ETQ184
185,2024-11-23,Tênis,Element,Azul Marinho,44,Estampa grande nas costas,5,290.99,1454.95,ETQ185
186,2024-02-25,Short Jeans,Reserva,Bege,M,Sem estampa,2,101.99,203.98,ETQ186
187,2024-10-25,Moletom com Capuz,Hurley,Branco,42,Estampa pequena na frente,2,102.99,205.98,ETQ187
188,2024-06-23,Tênis,Calvin Klein,Azul Claro,M,Estampa grande nas costas,4,236.99,947.96,ETQ188
189,2024-04-06,Short Jeans,Oakley,Azul Marinho,XGG,Estampa pequena na frente,1,76.99,76.99,ETQ189
190,2024-06-27,Short Moletom,Element,Cinza,P,Estampa grande na frente,5,359.99,1799.95,ETQ190
191,2024-07-18,Camisa Regata,Hurley,Azul Marinho,40,Estampa grande nas costas,4,188.99,755.96,ETQ191
192,2024-07-17,Chinelo,Puma,Cinza,M,Estampa pequena na frente e grande atrás,1,290.99,290.99,ETQ192
193,2024-09-24,Camisa Manga Longa,Nike,Verde,40,Sem estampa,4,359.99,1439.96,ETQ193
194,2024-03-26,Chinelo,Hurley,Azul Claro,P,Estampa pequena na frente,2,124.99,249.98,ETQ194
195,2024-11-26,Bermuda de Sarja,Oakley,Bege,XGG,Estampa pequena na frente,4,227.99,911.96,ETQ195
196,2024-03-01,Short Jeans,Calvin Klein,Azul Claro,XGG,Estampa grande na frente,1,230.99,230.99,ETQ196
197,2024-03-15,Camisa Regata,Sem Marca,Branco,GG,Estampa pequena na frente e grande atrás,3,221.99,665.97,ETQ197
198,2024-01-05,Short Moletom,Lacoste,Bege,42,Estampa pequena na frente,5,124.99,624.9499999999999,ETQ198
199,2024-12-21,Camiseta Polo,Sem Marca,Vermelho,44,Estampa grande na frente,3,390.99,1172.97,ETQ199
200,2024-04-28,Camisa Manga Longa,Adidas,Azul Marinho,P,Estampa grande nas costas,2,290.99,581.98,ETQ200
201,2024-11-30,Camisa Regata,Hurley,Branco,P,Sem estampa,5,270.99,1354.95,ETQ201
202,2024-10-06,Camiseta Polo,Element,Preto,40,Estampa pequena na frente,5,218.99,1094.95,ETQ202
203,2024-09-07,Camisa Regata,Reserva,Branco,44,Estampa pequena na frente,3,221.99,665.97,ETQ203
204,2024-01-09,Camisa Regata,Nike,Azul Marinho,42,Estampa grande nas costas,1,304.99,304.99,ETQ204
205,2024-02-05,Short Jeans,Element,Marrom,42,Sem estampa,4,35.99,143.96,ETQ205
206,2024-09-28,Calça Jeans,Hurley,Bege,GG,Sem estampa,5,170.99,854.95,ETQ206
207,2024-07-09,Short Jeans,Calvin Klein,Marrom,44,Estampa grande na frente,3,58.99,176.97,ETQ207
208,2024-06-08,Moletom com Capuz,Reserva,Cinza,40,Estampa pequena na frente e grande atrás,5,49.99,249.95,ETQ208
209,2024-09-02,Camisa Regata,Lacoste,Branco,42,Estampa pequena na frente,3,287.99,863.97,ETQ209
210,2024-10-18,Camiseta Polo,Hurley,Preto,40,Estampa grande nas costas,5,119.99,599.9499999999999,ETQ210
211,2024-09-04,Calça Moletom,Reserva,Verde,44,Estampa pequena na frente e grande atrás,5,281.99,1409.95,ETQ211
212,2024-02-26,Camisa Regata,Tommy Hilfiger,Azul Claro,40,Estampa pequena na frente,3,124.99,374.97,ETQ212
213,2024-12-19,Bermuda de Sarja,Lacoste,Preto,G,Estampa grande nas costas,3,27.99,83.97,ETQ213
214,2024-01-31,Short Moletom,Puma,Bege,XG,Estampa pequena na frente e grande atrás,1,81.99,81.99,ETQ214
215,2024-10-21,Camisa Regata,Sem Marca,Vermelho,XG,Estampa grande na frente,5,223.99,1119.95,ETQ215
216,2024-04-01,Bermuda de Sarja,Adidas,Preto,44,Estampa grande nas costas,4,354.99,1419.96,ETQ216
217,2024-06-27,Moletom com Capuz,Oakley,Branco,XG,Estampa pequena na frente,1,127.99,127.99,ETQ217
218,2024-11-03,Jaqueta,Vans,Preto,40,Estampa pequena na frente e grande atrás,5,127.99,639.9499999999999,ETQ218
219,2024-05-31,Tênis,Vans,Marrom,P,Estampa pequena na frente e grande atrás,3,195.99,587.97,ETQ219
220,2024-11-22,Chinelo,Lacoste,Preto,P,Estampa pequena na frente e grande atrás,4,23.99,95.96,ETQ220
221,2024-09-18,Jaqueta,Quiksilver,Verde,40,Estampa pequena na frente e grande atrás,5,380.99,1904.95,ETQ221
222,2024-04-26,Short Moletom,Lacoste,Bege,XGG,Estampa pequena na frente e grande atrás,1,308.99,308.99,ETQ222
223,2024-07-17,Chinelo,Puma,Bege,G,Estampa pequena na frente e grande atrás,5,245.99,1229.95,ETQ223
224,2024-04-29,Camisa Manga Longa,Nike,Branco,44,Estampa pequena na frente,4,194.99,779.96,ETQ224
225,2024-07-30,Bermuda de Sarja,Hurley,Branco,GG,Sem estampa,2,121.99,243.98,ETQ225
226,2024-11-23,Short Moletom,Vans,Cinza,P,Estampa grande na frente,1,351.99,351.99,ETQ226
227,2024-03-15,Camisa Manga Curta,Puma,Preto,42,Estampa grande nas costas,1,278.99,278.99,ETQ227
228,2024-01-31,Camisa Manga Longa,Puma,Marrom,44,Estampa pequena na frente,2,169.99,339.98,ETQ228
229,2024-11-25,Tênis,Lacoste,Branco,44,Estampa pequena na frente e grande atrás,3,265.99,797.97,ETQ229
230,2024-02-15,Short Moletom,Adidas,Cinza,40,Estampa grande nas costas,5,286.99,1434.95,ETQ230
231,2024-01-08,Short Moletom,Element,Cinza,XG,Sem estampa,5,310.99,1554.95,ETQ231
232,2024-06-17,Short Moletom,Oakley,Cinza,P,Estampa grande nas costas,4,235.99,943.96,ETQ232
233,2024-06-12,Short Moletom,Nike,Azul Marinho,XGG,Estampa pequena na frente e grande atrás,1,111.99,111.99,ETQ233
234,2024-05-16,Calça Moletom,Calvin Klein,Azul Claro,XGG,Estampa grande nas costas,2,291.99,583.98,ETQ234
235,2024-09-20,Camisa Manga Curta,Lacoste,Vermelho,XGG,Sem estampa,5,63.99,319.95,ETQ235
236,2024-01-09,Camisa Manga Curta,Lacoste,Vermelho,42,Estampa pequena na frente e grande atrás,4,110.99,443.96,ETQ236
237,2024-09-13,Camiseta Polo,Calvin Klein,Cinza,M,Sem estampa,3,390.99,1172.97,ETQ237
238,2024-04-01,Bermuda de Sarja,Vans,Cinza,P,Estampa grande na frente,2,252.99,505.98,ETQ238
